t2m,mu,sigma
278.65,279.1846,0.61170703
275.25,275.9256,0.7665858
279.75,279.3924,0.6899044
279.15,279.06372,0.8810183
275.05,273.9168,0.8937682
278.15,276.8001,0.9587749
274.55,275.66782,0.90597415
277.65,277.08603,0.94109845
275.05,275.02576,0.86021364
273.25,272.70465,1.0105352
278.75,278.99573,0.66256195
273.65,274.07397,0.9775088
273.85,274.37656,0.86694133
274.45,275.49518,0.92576826
273.35,273.0314,0.91581523
274.65,274.79495,0.97274566
273.25,272.9346,0.9100901
274.75,277.0568,1.1097387
273.65,273.49356,0.8885582
276.65,278.2702,0.727221
273.75,273.96262,0.8891742
275.75,275.25574,0.8448385
275.25,273.3971,0.900612
273.55,273.34323,0.828977
274.65,273.17868,0.90920997
273.45,273.04617,0.7524482
273.45,273.20047,0.89223486
272.95,272.3885,0.8143983
273.55,273.12573,0.6815423
271.25,270.01688,1.1795503
272.55,273.52872,0.7329207
273.65,273.3847,0.6969413
274.95,273.9863,0.7418946
269.25,269.03226,1.230308
273.45,272.98444,0.7740352
273.35,273.298,0.6887754
272.95,272.68796,0.7982172
270.45,271.22266,1.1203443
271.55,270.6414,1.691412
272.75,272.40768,2.7004895
271.55,272.0779,1.4481809
271.35,270.40063,1.2552891
270.15,269.2728,1.609998
271.95,271.96344,0.93414605
273.35,272.78375,0.75664365
273.35,272.84473,0.7550354
270.65,269.98187,1.45951
269.65,269.847,0.8179007
268.45,270.96884,1.7083033
269.85,269.01285,1.358425
271.55,267.84515,1.3499022
273.15,272.94434,1.4276593
272.45,272.3763,1.1056229
270.35,271.79813,1.2499477
272.15,270.31064,2.1951222
270.45,271.01044,0.845139
272.95,272.81238,0.6974281
271.15,271.76447,0.72346157
269.05,269.05154,0.99686754
267.45,268.09998,1.3878947
269.05,268.92154,1.2809584
269.35,269.38846,1.0053339
268.05,267.90912,1.6227589
271.35,270.82056,1.3040854
271.45,269.64725,1.2792693
273.15,272.37433,0.6692869
272.95,272.45596,0.7537689
266.05,269.61838,1.7262924
269.45,269.86597,1.6777735
268.45,268.41208,1.9022236
270.15,269.01974,1.1861916
270.35,269.4593,1.1191573
266.95,267.4805,1.1931156
269.75,268.605,1.4040562
269.85,269.7552,1.6215082
275.45,276.29596,0.9216312
269.15,268.5598,1.0493803
271.45,270.61465,1.6278799
275.15,276.02057,1.1301801
274.15,277.50946,1.0792792
273.55,274.7216,1.1298927
