t2m,mu,sigma
281.05,281.42828,0.67261755
280.55,279.9496,0.93445754
281.35,281.18445,0.5554187
281.05,281.5398,0.7177915
280.25,279.9042,0.8228812
279.55,279.75818,0.7486391
279.75,280.39197,0.7166555
280.95,280.7282,0.8630103
279.75,280.34613,0.89286566
279.15,278.91348,0.9347672
280.85,281.0385,0.71542454
280.05,280.38287,0.7192504
280.15,280.34674,0.7318733
280.85,280.639,0.95142365
278.65,278.90826,0.7766575
280.65,279.71588,1.0754708
279.05,279.42096,0.8088411
279.45,279.79852,0.6299643
278.75,279.13376,0.7168939
280.45,280.73193,0.57033736
279.05,279.14285,0.83938074
280.15,279.557,1.0038543
279.85,278.7166,0.9872842
278.65,278.87363,0.7493395
279.65,278.853,0.87586373
277.65,278.56067,0.7809106
278.55,278.82407,0.71000725
275.25,276.0571,0.66555506
276.65,278.16913,0.79694796
271.35,271.12186,1.0777335
276.95,277.39606,0.8371743
280.65,279.07654,1.0336046
280.55,279.21652,1.1007744
271.95,271.47552,0.8636877
279.35,278.709,1.0237249
276.25,276.69528,0.9117315
275.55,276.4626,0.73230225
266.25,267.35065,1.5810317
274.85,274.11456,1.1263611
271.05,271.40976,2.3214774
269.35,270.10208,0.911114
275.55,274.62833,1.1360669
274.15,274.5583,1.1518855
275.85,276.75583,0.840438
277.85,278.76117,0.8243155
277.75,278.01172,0.95911086
274.15,274.68304,0.6899099
271.45,271.63245,0.6434527
272.25,270.45953,1.8451632
273.25,273.3659,0.85577255
270.15,269.89087,0.93943477
269.65,269.72336,1.3318868
276.05,275.98746,0.76640224
270.45,271.56754,1.3782244
271.25,270.47955,1.8117127
274.45,274.69052,0.7608657
276.05,276.0659,1.0083216
273.95,273.70078,0.6416116
272.95,272.4887,0.5998944
272.95,272.89142,0.77518237
271.45,271.2128,0.8704827
273.65,273.25732,0.6724199
270.75,267.46887,2.9666784
272.75,272.86023,0.8285862
271.95,271.244,1.0741968
276.45,276.36267,0.949767
279.05,278.2587,1.0074563
270.05,270.18665,1.0604651
273.65,273.54346,1.1209618
272.55,272.45557,1.3099641
271.15,271.03918,0.89083445
272.35,272.6058,0.90854716
268.95,269.3856,0.82495177
270.85,269.9563,1.1162686
273.35,273.12662,0.86361456
280.65,280.3808,1.0288627
271.35,271.78873,0.9168252
273.35,273.32883,1.1144876
278.95,279.1325,0.90199125
278.65,280.24075,0.89169544
277.75,278.0453,1.0342484
279.25,279.5271,0.59231913
277.65,277.11972,0.8475619
275.35,276.30652,1.0116982
277.45,277.8971,0.8478841
278.95,278.45535,0.81938434
277.35,277.3046,0.74889034
275.85,276.25934,0.74932134
275.15,275.12186,0.78043836
277.65,278.5707,0.7525986
275.85,277.304,0.8192797
274.45,274.37042,1.1051445
273.85,274.3793,0.77816725
275.65,275.53308,0.67670494
275.15,275.43903,0.7708036
276.45,278.15964,0.8144604
276.15,276.7049,0.88037604
274.25,274.08893,0.8482682
271.55,271.63217,0.70677125
275.95,277.07205,0.8178398
275.05,275.3091,0.7128414
276.05,277.59525,0.8762102
272.35,272.15262,1.1818104
273.05,273.348,0.61260545
272.05,272.36902,0.643836
271.95,273.06702,0.6980689
271.85,272.1181,0.99264157
277.35,277.0807,1.2271229
275.05,274.08054,1.4125246
272.65,272.652,1.3687319
271.05,271.5016,1.0284538
271.55,270.69708,1.6656498
271.15,270.62064,1.8118379
269.25,270.9561,1.9028864
270.85,269.21832,2.4407077
271.95,270.49164,2.2211235
271.75,269.7358,2.4201138
270.65,264.14883,2.345533
270.95,261.97806,2.734017
276.55,278.9179,0.8651324
276.45,276.06094,1.250085
279.05,279.41675,0.66276413
279.05,278.66116,0.8847709
275.85,276.30096,1.2811202
277.45,277.02298,0.9686135
276.95,277.09793,1.0425879
275.05,277.2108,1.0982552
275.45,275.5578,1.3442217
273.25,274.93457,1.4111457
277.55,278.06955,0.8128866
274.95,275.7146,1.2471275
274.85,275.26862,1.4000037
275.25,275.54315,1.3792689
274.25,274.493,1.4236162
274.15,274.2122,1.4517982
270.95,274.46375,1.5605342
278.15,279.0136,0.7782727
274.25,277.297,1.2327162
279.35,279.37534,0.81193995
276.25,276.23816,1.4682057
275.75,276.51733,1.3028084
275.75,275.19592,1.292154
274.45,275.43283,1.3413683
275.25,274.8864,1.4775721
275.55,275.1185,1.4225974
275.55,275.49194,1.1887579
274.55,274.7042,1.1413968
273.45,274.9876,1.2579384
273.35,273.26993,1.0867522
272.85,273.4252,0.93279785
273.65,272.78714,1.6878768
271.85,272.34827,1.3799597
273.15,272.34595,0.9951656
273.75,273.72458,1.4562454
274.35,274.8569,1.5448216
273.45,274.61414,1.0916151
266.35,265.8431,0.9968387
273.25,275.10568,1.2042462
273.55,273.12363,1.507998
270.85,270.57745,0.7790577
275.45,275.39563,1.0489187
273.65,273.81647,1.0439461
272.45,273.36307,1.1180615
274.45,274.33875,1.4096425
272.75,272.8484,1.3144999
272.55,273.04764,0.9274686
268.55,269.359,0.72705984
271.35,271.67136,1.2674254
273.05,273.70932,0.8103826
269.35,269.25052,0.77043617
269.55,269.7552,0.89835846
273.25,274.36407,1.0854346
273.25,274.18832,0.8193648
274.35,274.69775,1.1787226
271.35,272.12808,0.745385
272.75,273.03882,1.3980181
272.75,272.52158,0.9706628
271.85,271.58615,0.67786354
270.95,271.90707,0.83158267
271.95,272.19446,0.7116813
274.05,272.01257,0.8813651
270.35,269.72607,1.4153392
273.65,273.8275,0.754983
272.35,272.79376,1.2287178
273.75,273.49716,1.1735938
272.45,272.77655,1.099279
270.75,270.3289,0.88300335
274.25,274.37234,0.6903959
273.85,273.66882,0.71874076
273.95,273.003,1.067417
273.85,273.9695,1.0055981
266.05,268.2477,0.72942424
271.85,271.94107,0.93050337
274.35,273.7031,0.8148515
273.25,274.58188,1.5814168
272.25,272.35834,0.86539674
273.95,275.40543,1.1603101
277.95,279.32812,1.0285721
277.75,279.20322,0.9975642
275.25,277.234,1.0785067
278.55,279.73898,0.8217014
275.05,276.1359,1.1651018
274.25,275.09396,1.3207033
275.05,276.222,1.2655294
276.35,276.42044,1.1155035
275.65,275.51813,1.0629604
274.15,275.40723,1.1066128
273.95,274.1926,1.003961
278.15,277.30966,1.0807563
275.15,275.59055,1.1573782
273.75,274.23996,1.1582686
273.45,273.71072,0.9676611
274.45,274.75772,1.0447148
273.95,274.13336,1.111372
273.65,275.34543,1.2673956
275.05,275.3928,1.2752763
273.95,273.2357,0.9412611
272.65,271.71436,0.89270246
273.65,275.0575,1.3212374
274.65,273.7063,1.0871161
273.25,274.733,1.3116645
273.65,273.0384,1.3879551
273.35,272.07764,0.8695167
272.25,270.8819,0.87216926
272.35,271.02512,1.1135051
272.85,273.88214,1.1105757
274.65,276.2713,1.2707491
274.35,274.1652,1.7251654
273.55,274.76428,1.6446685
273.55,273.61386,1.0723932
275.75,274.95712,1.1951486
274.75,274.96628,1.3911742
274.15,275.16476,0.96197927
276.25,274.22327,1.3952305
274.25,273.44763,1.0212557
273.35,271.8556,1.235796
265.85,265.8515,0.87767404
265.55,265.51517,1.1542109
270.95,272.342,2.5901396
269.65,271.0298,2.2084074
272.25,273.51712,2.4055452
271.85,272.50336,2.8178964
268.05,269.74857,2.5767121
269.05,270.294,2.3461955
269.05,269.28766,2.7237906
269.55,270.45776,2.3444023
270.15,270.06354,2.2789934
266.75,268.47073,2.5780807
270.05,270.17993,2.118285
266.85,268.5764,2.7545624
268.45,269.00864,2.3789375
268.25,269.2354,2.4235735
266.25,267.93665,2.562018
267.95,268.56534,2.3322246
265.65,267.74222,2.6100798
273.55,273.70798,1.8285819
271.25,270.6441,2.108076
271.35,272.3396,2.4854352
267.95,269.5232,2.6587195
270.75,271.50143,2.3088195
269.45,270.0981,2.2021015
266.95,269.06143,2.4652853
268.15,269.00546,2.567475
266.45,268.93494,2.4824808
266.45,268.62534,2.5225084
268.85,269.2833,1.9475592
266.45,268.64188,2.2695065
266.75,267.27374,1.3845264
265.35,266.88733,1.7235321
264.95,268.0592,2.4140975
265.45,267.43658,2.4258013
265.35,265.92215,1.698566
267.05,267.9496,2.1134195
266.65,269.07623,2.235871
268.65,269.6063,1.661467
259.55,260.17017,2.3203378
267.15,268.30392,1.7113087
262.75,266.0671,3.0113995
