t2m,mu,sigma
270.95,275.1203,3.0416873
269.65,273.85464,3.017355
272.25,275.69122,2.4700477
271.85,275.29553,2.8360393
268.05,272.08344,3.2036748
269.05,272.90732,3.2098565
269.05,272.45828,3.3420691
269.55,273.27463,3.5877059
270.15,272.68814,3.190986
266.75,271.304,3.2985902
270.05,273.05917,3.3487482
266.85,271.14648,3.5205815
268.45,270.81436,3.496548
268.25,271.89694,3.5374036
266.25,270.26068,3.4220817
267.95,271.20218,3.4360566
265.65,270.4608,3.6339972
273.55,275.4637,2.1012263
271.25,272.9525,2.6797695
271.35,275.20215,2.560114
267.95,272.00015,3.2756057
270.75,273.98785,2.8914623
269.45,272.3387,2.862007
266.95,271.71497,3.1632748
268.15,271.82962,3.3683205
266.45,271.13586,3.0340378
266.45,271.1181,3.1768315
268.85,271.2878,2.5215738
266.45,271.21936,3.1099114
266.75,269.5753,2.0673413
265.35,269.57108,2.958699
264.95,270.13345,3.5534868
265.45,269.6116,3.5988238
265.35,268.9751,2.4607797
267.05,270.5448,3.2234488
266.65,271.24805,2.8730705
268.65,271.5299,2.637568
259.55,264.6669,3.6090531
267.15,269.10416,2.7398758
262.75,267.28943,3.904666
264.35,266.36206,2.6568959
268.05,270.43045,2.6193526
266.45,268.53867,2.8696516
263.15,268.43906,3.5887408
266.85,270.27045,3.2244391
264.45,269.2591,3.331808
266.25,267.75922,3.5456445
262.35,266.6206,3.226903
265.95,264.7297,3.6920485
264.65,267.3934,3.1520808
262.85,266.90558,2.377432
262.85,265.7877,2.6495528
266.35,270.68518,3.0920892
267.85,269.48383,2.3018098
264.75,268.72113,2.9444969
261.85,267.53436,3.3296402
266.15,269.5337,3.764887
265.35,269.3243,3.787246
264.75,269.0861,3.031096
264.05,265.55817,3.4323995
264.25,267.91623,3.1350148
264.95,269.34723,2.486597
265.55,264.4736,3.7713892
265.15,267.9504,3.2138731
266.85,268.57117,2.3489082
266.65,269.86017,3.3402421
264.95,268.38663,3.5310519
262.45,265.08548,2.8746011
267.95,268.2957,2.9739273
268.45,267.29636,2.92466
266.55,269.08374,2.2667983
267.25,269.69327,2.4836137
260.95,265.2783,3.0770354
265.55,268.8001,2.2787704
265.95,268.51804,2.697438
266.95,271.73563,3.5193892
265.05,268.71365,2.4783132
266.75,268.89453,3.0148559
272.45,273.9654,2.3135753
271.65,273.69095,2.5534103
271.45,273.23828,2.3425071
273.25,275.17743,2.0256858
270.85,272.88376,2.29093
270.45,271.57498,2.2114081
270.35,272.63,2.5823956
269.65,272.52475,2.7256773
269.35,272.21942,2.5661733
269.25,272.2722,2.2202892
269.45,271.5433,2.2506053
269.35,272.44696,2.843127
269.85,272.408,2.4332318
267.95,270.17105,2.5398364
268.15,271.06763,1.9700798
269.95,272.1786,2.295461
270.15,271.25507,2.4130657
268.15,271.46838,2.9644647
268.95,271.89542,2.3667097
268.25,270.98605,2.3848643
263.55,269.27585,2.2323236
267.45,270.62936,3.175018
269.05,271.6576,2.3621147
267.05,270.54865,3.2700117
266.35,268.65256,2.533344
265.85,270.7052,2.999687
263.65,269.06653,3.1712317
260.25,268.8151,3.3648422
267.65,269.68976,1.9739716
271.15,272.81418,2.1291716
269.75,269.12378,2.569944
269.15,270.17334,2.5725029
268.05,269.56232,2.1706955
269.35,268.85446,2.8509884
270.05,271.2836,1.9082019
263.55,268.86578,2.9428732
273.05,269.98837,2.4301455
268.15,267.63345,3.1031888
268.65,267.38684,3.291535
260.95,261.80664,3.1286452
261.05,261.93732,3.4039097
273.05,278.63544,1.7559901
272.05,275.78802,2.4970336
273.65,278.11887,1.3702818
274.05,278.3308,1.5746002
272.15,274.66415,2.0599806
272.85,275.36005,2.0529993
272.25,274.4424,2.445895
272.15,276.32187,2.748651
272.05,274.35175,2.334354
271.45,273.27832,1.9939653
271.45,275.56607,2.3144717
271.45,273.71732,2.2680094
