Feature,CRPS
['station_id'],0.9356937088854984
['model_orography'],1.0095560849710774
['station_altitude'],1.0981433174556123
['station_latitude'],0.6698838082007388
['station_longitude'],0.6407643406558637
"['cape_mean', 'cape_std']",0.6327850431847364
"['sd_mean', 'sd_std']",0.6366311594180751
"['stl1_mean', 'stl1_std']",0.8917658081534436
"['swvl1_mean', 'swvl1_std']",0.7017250904558975
"['t2m_mean', 't2m_std']",2.299149058222173
"['tcc_mean', 'tcc_std']",0.6465563997056581
"['tcw_mean', 'tcw_std']",0.7121627103955949
"['tcwv_mean', 'tcwv_std']",0.7124132819120769
"['u10_mean', 'u10_std']",0.6808455885612164
"['u100_mean', 'u100_std']",0.720173475024787
"['v10_mean', 'v10_std']",0.6586779256126908
"['v100_mean', 'v100_std']",0.6684790055452664
"['vis_mean', 'vis_std']",0.6452046675146385
"['cp6_mean', 'cp6_std']",0.642546084895086
"['mn2t6_mean', 'mn2t6_std']",1.219500388278958
"['mx2t6_mean', 'mx2t6_std']",1.3434647723841076
"['p10fg6_mean', 'p10fg6_std']",0.7099411492194424
"['slhf6_mean', 'slhf6_std']",0.6564372050768599
"['sshf6_mean', 'sshf6_std']",0.7059092246376081
"['ssr6_mean', 'ssr6_std']",0.6436445033073735
"['ssrd6_mean', 'ssrd6_std']",0.6587230209568696
"['str6_mean', 'str6_std']",0.6570349468948498
"['strd6_mean', 'strd6_std']",0.6992826428866251
"['tp6_mean', 'tp6_std']",0.6512998539407518
"['z_mean', 'z_std']",0.6721060886771357
"['q_mean', 'q_std']",0.6419941312858191
"['u_mean', 'u_std']",0.646934431473253
"['v_mean', 'v_std']",0.6403411810198575
"['t_mean', 't_std']",0.9559109339743542
"['cos_doy', 'sin_doy']",0.680221891229089
