Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.3876707969654982,1.3857202650628866,1.3876415413539616,1.3870108677941155,0.0011177904678843673
orography,1.2028429187326526,1.202527030823216,1.2017143242992432,1.2023614246183707,0.0005822374172905449
altitude,1.2315106315046636,1.2323592234788716,1.2322431816937416,1.2320376788924257,0.00046010937361036747
latitude,1.2116699929895671,1.2115885696774138,1.2117757711146149,1.2116781112605322,9.386439295670587e-05
longitude,1.1977072474207102,1.1979748818950733,1.1976509239721242,1.1977776844293027,0.0001730844103174636
cape,1.1901727066170742,1.1901311768935066,1.1949430453890526,1.1917489762998779,0.002766222910269786
sd,1.2068657836575574,1.2033349151420953,1.2053030254305457,1.2051679080767326,0.001769307955909966
stl1,1.428097480261973,1.4442342713443395,1.44315432977898,1.438495360461764,0.009021003432714895
swvl1,1.2125331243542177,1.210836765973813,1.2084910703975684,1.2106203202418664,0.0020297011142713633
t2m,1.60137776197323,1.5965752545496277,1.5712846974337136,1.5897459046521905,0.016167193583337024
tcc,1.186127761456862,1.1870075868756003,1.1865558367160354,1.1865637283494992,0.00043996579443584204
tcw,1.1838905137826212,1.1877557405054593,1.191025832059993,1.1875573621160245,0.0035717932777380415
tcwv,1.1927413218374059,1.1887438900193965,1.1906734776504346,1.190719563169079,0.0019991143517017686
u10,1.1856174441475358,1.1844420489288991,1.1863023495347944,1.1854539475370764,0.0009408655282756066
u100,1.1855541223325314,1.1870806868255934,1.1849407867920363,1.185858531983387,0.0011019491662753683
v10,1.1900207887101921,1.1901876727503922,1.1877565655044897,1.1893216756550247,0.0013579911296466675
v100,1.1902822131361368,1.1927610755254643,1.1925945778963802,1.1918792888526604,0.0013856112363699914
vis,1.182475257366811,1.1838589028964353,1.1858072282918,1.1840471295183488,0.0016739413093477342
cp6,1.1879589497580434,1.186062561470432,1.1861561782921966,1.1867258965068908,0.0010688808481131209
mn2t6,1.5542731487322714,1.5483141156229698,1.568095223098908,1.5568941624847163,0.010147676485853003
mx2t6,1.6004947837467713,1.5941475238433958,1.5713472207781018,1.5886631761227565,0.015328198171794379
p10fg6,1.2235833409195287,1.227164943212892,1.2243476260631425,1.2250319700651877,0.0018863228201470806
slhf6,1.1969779438517592,1.197865705718223,1.1964344303715317,1.197092693313838,0.0007225045735474772
sshf6,1.2111850168969858,1.2128253880965447,1.204517619210158,1.2095093414012295,0.004400076390554128
ssr6,1.1862391468619256,1.1874275855781584,1.1866558639528668,1.1867741987976501,0.0006029917057288154
ssrd6,1.187765029856468,1.1881016339393493,1.1861679618453793,1.187344875213732,0.0010330389075968414
str6,1.2204315725619275,1.223265836881147,1.2262617253654267,1.2233197116028336,0.0029154497581445255
strd6,1.290253135218844,1.2743514885142846,1.2836444036411168,1.282749675791415,0.007988491435992782
tp6,1.2004938520727138,1.1998807058957126,1.2010939825456224,1.200489513504683,0.0006066499605897063
z,1.1893690777350499,1.1884741340625102,1.1859510861633098,1.1879314326536232,0.001772444698862961
q,1.1868615424326192,1.185364268468535,1.188579207420889,1.1869350061073478,0.0016087280069884693
u,1.1934876335803983,1.186582390845361,1.190170326418102,1.1900801169479538,0.003453505120717909
v,1.1892967867508242,1.1910788236366308,1.1868775192160186,1.1890843765344912,0.0021086911304564783
t,1.2175642988928679,1.2190748807446574,1.2178935131865627,1.218177564274696,0.0007943413298080765
cos,1.2118013896321433,1.2086635376450108,1.2121440795705196,1.2108696689492247,0.0019182337180438031
