Feature,CRPS_0,CRPS_1,CRPS_2,CRPS_mean,CRPS_std
id,1.0452655902316168,1.050088898417378,1.046648195017953,1.0473342278889826,0.002483758500500304
orography,0.7971588740611936,0.7965297469806532,0.7968394018676949,0.7968426743031806,0.00031457630631189035
altitude,0.8381654322764478,0.8400834935936861,0.839446170941871,0.839231698937335,0.000976851311469013
latitude,0.8609665844623251,0.8613325606189772,0.8595723083505172,0.8606238178106066,0.0009288373083066884
longitude,0.797361224747398,0.7965306074817067,0.797186638548658,0.7970261569259209,0.00043794637108142604
cape,0.7913515466068688,0.7923662150642367,0.7936709163109618,0.792462892660689,0.0011627032615022352
sd,0.7967022956705887,0.7966851607802009,0.7985032187524752,0.7972968917344216,0.0010447449722213182
stl1,1.0467237984432098,1.06185415256539,1.0685168497642132,1.0590316002576043,0.011167335072326404
swvl1,0.8181909894063069,0.8196197394881196,0.8167897716658534,0.8182001668534267,0.0014150062324658629
t2m,1.7457384136851364,1.686592037295259,1.676071061010293,1.7028005039968963,0.037555569517633655
tcc,0.8085616555559892,0.8076781517087859,0.8093253236224554,0.8085217102957435,0.0008243121654794784
tcw,0.8094764758545392,0.8105360485520681,0.8120278664148031,0.8106801302738035,0.0012817831738069347
tcwv,0.8347627351763479,0.8405007938298423,0.8402204545503789,0.8384946611855231,0.003234980885781372
u10,0.7933895061007052,0.7952204680414241,0.7947588442168774,0.7944562727863356,0.0009522434090217282
u100,0.8079170291094308,0.8083306543797972,0.8093048008462205,0.8085174947784828,0.0007125023503777603
v10,0.7931181645463719,0.791822189457579,0.7934425010586,0.7927942850208503,0.0008573365041743553
v100,0.8026455683793768,0.8013207250196444,0.8012724169723465,0.8017462367904559,0.0007792184526701873
vis,0.8022211477459807,0.8033791440815224,0.8041322268759065,0.8032441729011365,0.000962662336886866
cp6,0.7976445120436106,0.7966888764351695,0.7953163650351763,0.7965499178379855,0.0011702774209643282
mn2t6,1.5285679655469404,1.5000156113588516,1.5214328823937335,1.516672153099842,0.014859597571193046
mx2t6,1.5951839030187376,1.5563762444304692,1.5735787558736514,1.5750463011076192,0.019445407119322734
p10fg6,0.8481377231609069,0.8453899768448111,0.8407038548833987,0.8447438516297056,0.0037588173322245706
slhf6,0.8078190993197429,0.8077405044693439,0.8087916065380746,0.8081170701090539,0.0005854859803482896
sshf6,0.8439966029195178,0.8449370219589063,0.8440518697828158,0.8443284982204133,0.0005277210075189531
ssr6,0.7940098423667089,0.7936470553413943,0.7949809325920004,0.7942126101000345,0.0006896689025754477
ssrd6,0.8014729403104036,0.8032121695913063,0.8023251448338197,0.8023367515785099,0.0008696727317094681
str6,0.8042591024574469,0.8045496239147633,0.8061616146738788,0.8049901136820297,0.001024895901893436
strd6,0.9761901875766876,0.9765383833211444,0.9830500237993867,0.9785928648990728,0.0038639370033812814
tp6,0.8023629813408462,0.8049291411432524,0.8055277123246987,0.804273278269599,0.001681219090962455
z,0.8023865860979967,0.8024944327376293,0.8013032898168303,0.8020614362174855,0.0006587846370702525
q,0.8062861771555134,0.8038551636852934,0.8059228115597155,0.8053547174668406,0.0013112988968450798
u,0.8135461301155369,0.8087213960531535,0.8138701386609641,0.8120458882765514,0.0028836490410507295
v,0.8020601124519217,0.8017909920345022,0.8028615496514449,0.8022375513792896,0.000556899301945676
t,0.8634084798508885,0.863301354357879,0.8650575761471968,0.8639224701186548,0.0009844888215909087
cos,0.8201750463049896,0.8153548051160885,0.8156897678551527,0.8170732064254103,0.002691488062030365
