t2m,mu,sigma
279.35,280.15536,0.9048468
279.55,280.7228,0.6385134
277.85,280.06403,0.9522213
277.25,279.86945,0.7988297
279.35,280.61282,0.62765443
277.25,279.22778,0.7726913
277.25,279.95074,0.8187474
276.95,279.4335,0.6460361
276.95,279.4427,0.82275337
278.75,280.34067,0.6187535
276.95,279.904,0.9453628
278.35,280.1363,0.68497777
276.95,279.36948,0.6235606
277.05,279.4126,0.74597025
278.75,279.61847,0.818382
276.15,279.27106,0.63841546
279.05,279.96094,0.80122733
280.85,281.275,0.65657103
282.25,281.8725,0.82872134
281.95,281.58682,0.70498914
281.35,281.36694,0.6687948
281.85,282.26865,0.7805685
281.45,281.30704,0.67728215
279.45,280.53418,0.5962369
280.15,280.89087,0.60158753
278.85,280.3704,0.62957925
279.45,280.97995,0.68994975
279.25,280.3462,0.6741446
280.75,282.1587,0.63415265
278.95,279.97125,0.89798003
278.55,279.82858,1.036428
276.35,277.7748,0.669006
276.05,278.1249,0.6100974
278.45,279.20657,0.7180764
277.05,278.23712,0.710239
278.75,279.98886,0.86539793
278.45,279.94504,0.664288
274.85,276.39914,2.0101995
274.85,277.1217,0.8808119
280.75,278.6177,2.8560646
277.05,277.3158,1.6779155
275.05,278.51868,1.1191238
275.05,276.53198,0.91346663
275.65,277.49118,0.8121878
277.35,279.47754,0.8566678
277.05,277.78192,0.5188707
273.85,277.0803,0.93294436
272.95,274.50067,0.8775254
273.65,273.061,2.2568243
272.45,273.9745,1.1789283
273.05,274.38705,0.9184513
278.45,276.94498,1.9206755
277.75,280.11533,0.8570242
273.65,273.1242,1.3924835
275.75,277.54935,2.2868664
275.05,275.7292,0.7663128
277.35,278.34244,0.7362505
276.35,278.3428,0.687141
273.45,276.08508,0.8852301
271.35,272.40457,1.0989058
273.15,277.6981,1.3012261
277.45,278.0168,0.76497847
272.05,271.07288,2.5445213
275.25,274.45654,1.6264166
278.75,280.532,0.9463731
276.65,277.9837,0.6668394
275.15,276.82346,0.548133
277.85,273.97513,2.2927365
275.85,275.33084,2.0770137
274.55,274.19705,2.2192516
277.05,279.30264,0.8270786
278.85,280.6152,0.8307898
273.45,273.6199,1.2621806
274.45,278.1697,1.1020424
273.35,274.74844,1.6927032
277.05,279.0576,0.65392447
277.35,278.4175,0.7717053
276.35,277.17676,1.0660493
281.25,281.38632,0.74133754
280.35,280.66876,0.6309042
281.75,281.78174,0.66357744
281.85,282.1192,0.699324
280.75,281.5292,0.65413076
282.85,281.70996,0.7909211
281.65,281.94354,0.83232015
280.65,280.97244,0.7938772
279.95,280.42902,0.7265799
281.15,281.51642,0.62283766
278.05,278.58374,0.8574408
280.05,281.67603,0.58436096
280.05,281.0331,0.69734675
277.45,279.04434,0.69907075
276.55,277.9566,0.7580404
278.35,279.1934,0.8549583
281.15,281.67896,0.50149494
280.95,282.9489,0.9672172
281.15,282.4247,0.8541428
276.15,276.17987,1.8261625
282.25,282.0146,1.2969843
278.45,276.22867,1.9570513
282.45,284.13586,1.4200374
275.75,276.28262,2.1866653
273.25,275.65405,2.3703682
276.35,274.5354,2.360651
268.05,269.6707,2.6507103
278.65,279.805,0.9340874
278.45,279.013,0.529438
278.35,279.73087,0.9954595
278.45,279.05182,1.0454124
278.75,279.58588,0.51310325
278.05,278.52493,0.8038803
279.25,278.3335,0.6807766
278.95,278.49734,0.6109907
279.45,279.26425,0.6630047
279.25,279.1287,0.59989583
278.65,278.95105,0.870067
278.75,279.4733,0.6844523
